Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,CH001,144.025000,,0.000000,TSQL,88.5,67.0,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
2,CH002,144.525000,,0.000000,TSQL,88.5,71.9,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
3,CH003,145.025000,,0.000000,TSQL,88.5,77.0,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
4,CH004,145.525000,,0.000000,TSQL,88.5,82.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
5,CH005,146.025000,,0.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
6,CH006,146.525000,,0.000000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
7,CH007,430.025000,,0.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
8,CH008,431.025000,,0.000000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
9,CH009,432.025000,,0.000000,TSQL,88.5,136.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
10,CH010,433.025000,,0.000000,TSQL,88.5,141.3,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
11,CH011,434.025000,,0.000000,TSQL,88.5,151.4,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
12,CH012,435.025000,,0.000000,TSQL,88.5,162.2,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
13,CH013,436.025000,,0.000000,TSQL,88.5,171.3,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
14,CH014,437.025000,,0.000000,TSQL,88.5,183.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
15,CH015,438.025000,,0.000000,TSQL,88.5,192.8,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
16,CH016,439.025000,,0.000000,TSQL,88.5,203.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
17,CH017,440.025000,,0.000000,TSQL,88.5,225.7,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
18,WX1PA7,162.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
19,WX2PA1,162.400000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
20,WX3PA4,162.475000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
21,WX4PA2,162.425000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
22,WX5PA3,162.450000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
23,WX6PA5,162.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
24,WX7PA6,162.525000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
25,WX8,161.650000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
26,WX9,161.775000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
27,WX10,163.275000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
28,GMRS 1,462.562500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
29,GMRS 2,462.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
30,GMRS 3,462.612500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
31,GMRS 4,462.637500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
32,GMRS 5,462.662500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
33,GMRS 6,462.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
34,GMRS 7,462.712500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
35,GMRS 8,467.562500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
36,GMRS 9,467.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
37,GMRS 10,467.612500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
38,GMRS 11,467.637500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
39,GMRS 12,467.662500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
40,GMRS 13,467.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
41,GMRS 14,467.712500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
42,GMRS 15,462.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
43,GMRS 16,462.575000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
44,GMRS 17,462.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
45,GMRS 18,462.625000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
46,GMRS 19,462.650000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
47,GMRS 20,462.675000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
48,GMRS 21,462.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
49,GMRS 22,462.725000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
50,GMRS 550/1,462.550000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
51,GMRS 575/1,462.575000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
52,GMRS 600/1,462.600000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
53,GMRS 625/1,462.625000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
54,GMRS 650/1,462.650000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
55,GMRS 675/2,462.675000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
56,GMRS 700/2,462.700000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
57,GMRS 725/2,462.725000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
58,ROCKY1,462.562500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
59,ROCKY2,462.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
60,ROCKY3,462.612500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
61,ROCKY4,462.637500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
62,ROCKY5,462.662500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
63,ROCKY6,462.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
